timestamp,type,price,quantity,value,commission,profit
2025-03-07 17:00:00,BUY,87598.73,0.10834061178740834,9500.0,9.5,
2025-03-07 20:00:00,SELL,87296.21,0.10834061178740834,9448.267073323952,9.448267073323953,-51.73292667604801
2025-03-11 11:00:00,BUY,81729.92,0.11551954126393488,9450.853719657754,9.450853719657754,
2025-03-12 22:00:00,SELL,83684.62,0.11551954126393488,9657.541704333464,9.657541704333465,206.68798467570923
2025-03-13 00:00:00,BUY,83469.39,0.11546220833523016,9647.207305099677,9.647207305099677,
2025-03-13 14:00:00,SELL,81848.87,0.11546220833523016,9441.000828663226,9.441000828663226,-206.20647643645134
2025-03-14 09:00:00,BUY,82784.9,0.11405292319411588,9451.311152485048,9.451311152485049,
2025-03-15 15:00:00,SELL,84344.95,0.11405292319411588,9610.168316057383,9.610168316057383,158.85716357233468
2025-03-15 21:00:00,BUY,84368.31,0.11369936451756457,9602.225457878767,9.602225457878767,
2025-03-16 07:00:00,SELL,84255.79,0.11369936451756457,9570.249950145446,9.570249950145445,-31.975507733321137
2025-03-17 10:00:00,BUY,83349.72,0.11472476304427394,9571.848725532112,9.571848725532112,
2025-03-18 06:00:00,SELL,82450.02,0.11472476304427394,9449.599948488152,9.449599948488153,-122.24877704396022
2025-03-19 05:00:00,BUY,83249.42,0.11346933918522205,9455.712387340349,9.455712387340348,
2025-03-20 17:00:00,SELL,84063.19,0.11346933918522205,9529.056024482665,9.529056024482665,73.34363714231586
2025-03-22 04:00:00,BUY,84367.5,0.11279062973044031,9525.388842625549,9.52538884262555,
2025-03-22 20:00:00,SELL,83979.68,0.11279062973044031,9462.648870769102,9.462648870769103,-62.73997185644657
2025-03-23 09:00:00,BUY,84325.67,0.11214046782542686,9465.785869361926,9.465785869361925,
